Starting job 7...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: FF | Kernel: 7 | Pad: 5 | Opacity 0.3 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512  Spatial Dimensions: 32 x 32 → 16 x 16 → 8 x 8 → 4 x 4 → 1 x 1
Epoch 1/100, Loss: 1.4990, Time: 49.88s, CPU Mem: 4588.36 MB, GPU Mem: 2111.75 MB, CPU Usage: 16.20%, GPU Power: 30.21 W
Epoch 2/100, Loss: 1.1678, Time: 45.24s, CPU Mem: 4591.68 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 35.04 W
Epoch 3/100, Loss: 1.0621, Time: 44.96s, CPU Mem: 4591.95 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 31.39 W
Epoch 4/100, Loss: 0.9911, Time: 44.97s, CPU Mem: 4592.31 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 27.52 W
Epoch 5/100, Loss: 0.9425, Time: 45.03s, CPU Mem: 4592.34 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 27.72 W
Epoch 6/100, Loss: 0.8982, Time: 45.83s, CPU Mem: 4592.09 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 28.64 W
Epoch 7/100, Loss: 0.8587, Time: 45.36s, CPU Mem: 4592.36 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 32.56 W
Epoch 8/100, Loss: 0.8249, Time: 44.59s, CPU Mem: 4592.11 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.70 W
Epoch 9/100, Loss: 0.7940, Time: 44.81s, CPU Mem: 4591.86 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.30 W
Epoch 10/100, Loss: 0.7653, Time: 45.47s, CPU Mem: 4592.36 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.54 W
Epoch 11/100, Loss: 0.7385, Time: 45.35s, CPU Mem: 4592.36 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.62 W
Epoch 12/100, Loss: 0.7180, Time: 45.50s, CPU Mem: 4592.36 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.90 W
Epoch 13/100, Loss: 0.6998, Time: 45.39s, CPU Mem: 4592.11 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 27.43 W
