Starting job 9...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: FF | Kernel: 3 | Pad: 1 | Opacity 0.3 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512  Spatial Dimensions: 32 x 32 → 16 x 16 → 8 x 8 → 4 x 4 → 1 x 1
Epoch 1/100, Loss: 1.5096, Time: 47.99s, CPU Mem: 4588.21 MB, GPU Mem: 2111.75 MB, CPU Usage: 16.20%, GPU Power: 28.12 W
Epoch 2/100, Loss: 1.1680, Time: 45.43s, CPU Mem: 4591.86 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 31.29 W
Epoch 3/100, Loss: 1.0639, Time: 45.50s, CPU Mem: 4592.12 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 31.48 W
Epoch 4/100, Loss: 0.9978, Time: 46.51s, CPU Mem: 4592.49 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.50%, GPU Power: 28.91 W
Epoch 5/100, Loss: 0.9501, Time: 45.70s, CPU Mem: 4591.75 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 27.72 W
Epoch 6/100, Loss: 0.9075, Time: 45.19s, CPU Mem: 4592.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 34.04 W
Epoch 7/100, Loss: 0.8776, Time: 46.46s, CPU Mem: 4592.27 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.50%, GPU Power: 27.52 W
Epoch 8/100, Loss: 0.8451, Time: 46.41s, CPU Mem: 4592.52 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.50%, GPU Power: 30.49 W
Epoch 9/100, Loss: 0.8157, Time: 45.33s, CPU Mem: 4591.77 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 30.49 W
Epoch 10/100, Loss: 0.7894, Time: 45.47s, CPU Mem: 4592.16 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.73 W
Epoch 11/100, Loss: 0.7616, Time: 44.95s, CPU Mem: 4592.52 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.10%, GPU Power: 28.53 W
Epoch 12/100, Loss: 0.7389, Time: 45.39s, CPU Mem: 4592.42 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.49 W
Epoch 13/100, Loss: 0.7181, Time: 45.76s, CPU Mem: 4591.77 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.40 W
Epoch 14/100, Loss: 0.7004, Time: 45.58s, CPU Mem: 4592.16 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 27.53 W
