Starting job 10...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 3 | Pad: 1 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.4850, Time: 8.75s, CPU Mem: 4490.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.50%, GPU Power: 38.38 W
Epoch 2/100, Loss: 1.0358, Time: 6.47s, CPU Mem: 4493.37 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 44.37 W
Epoch 3/100, Loss: 0.8202, Time: 6.37s, CPU Mem: 4494.20 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 61.96 W
Epoch 4/100, Loss: 0.6770, Time: 6.30s, CPU Mem: 4494.20 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 48.42 W
Epoch 5/100, Loss: 0.5686, Time: 6.23s, CPU Mem: 4493.71 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 46.06 W
Epoch 6/100, Loss: 0.4769, Time: 6.38s, CPU Mem: 4494.21 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 80.68 W
Epoch 7/100, Loss: 0.3957, Time: 6.51s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 53.54 W
Epoch 8/100, Loss: 0.3181, Time: 6.41s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 44.57 W
Epoch 9/100, Loss: 0.2554, Time: 6.61s, CPU Mem: 4493.98 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.10%, GPU Power: 63.58 W
Epoch 10/100, Loss: 0.1998, Time: 6.16s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 66.66 W
Epoch 11/100, Loss: 0.1501, Time: 6.63s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.10%, GPU Power: 40.64 W
Epoch 12/100, Loss: 0.1126, Time: 6.43s, CPU Mem: 4493.98 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 60.17 W
Epoch 13/100, Loss: 0.1000, Time: 6.46s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 49.19 W
Epoch 14/100, Loss: 0.0811, Time: 6.16s, CPU Mem: 4493.98 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 60.19 W
Epoch 15/100, Loss: 0.0673, Time: 6.18s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 46.93 W
Epoch 16/100, Loss: 0.0644, Time: 6.35s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 59.63 W
Epoch 17/100, Loss: 0.0654, Time: 6.63s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.00%, GPU Power: 38.28 W
Epoch 18/100, Loss: 0.0551, Time: 6.35s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 70.49 W
Epoch 19/100, Loss: 0.0531, Time: 6.20s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 46.75 W
Epoch 20/100, Loss: 0.0538, Time: 6.23s, CPU Mem: 4494.23 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 40.23 W
Epoch 21/100, Loss: 0.0415, Time: 6.40s, CPU Mem: 4494.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 44.65 W
Epoch 22/100, Loss: 0.0443, Time: 6.18s, CPU Mem: 4494.11 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 60.70 W
Epoch 23/100, Loss: 0.0453, Time: 6.27s, CPU Mem: 4494.61 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 63.91 W
Epoch 24/100, Loss: 0.0396, Time: 6.47s, CPU Mem: 4494.36 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 44.67 W
Epoch 25/100, Loss: 0.0476, Time: 6.44s, CPU Mem: 4494.61 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 55.46 W
Epoch 26/100, Loss: 0.0412, Time: 6.48s, CPU Mem: 4494.61 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 47.54 W
Epoch 27/100, Loss: 0.0397, Time: 6.56s, CPU Mem: 4494.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 63.75 W
Epoch 28/100, Loss: 0.0333, Time: 6.74s, CPU Mem: 4494.94 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.20%, GPU Power: 56.69 W
Epoch 29/100, Loss: 0.0339, Time: 6.18s, CPU Mem: 4494.94 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 39.07 W
Epoch 30/100, Loss: 0.0432, Time: 6.09s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.30%, GPU Power: 57.44 W
Epoch 31/100, Loss: 0.0336, Time: 6.49s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 50.76 W
Epoch 32/100, Loss: 0.0274, Time: 6.48s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 70.48 W
Epoch 33/100, Loss: 0.0327, Time: 6.12s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 74.56 W
Epoch 34/100, Loss: 0.0372, Time: 6.19s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 55.08 W
Epoch 35/100, Loss: 0.0321, Time: 6.57s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 50.09 W
Epoch 36/100, Loss: 0.0276, Time: 6.52s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 38.67 W
Epoch 37/100, Loss: 0.0291, Time: 6.65s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.10%, GPU Power: 62.33 W
Epoch 38/100, Loss: 0.0310, Time: 6.47s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 72.59 W
Epoch 39/100, Loss: 0.0311, Time: 6.21s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 75.33 W
Epoch 40/100, Loss: 0.0323, Time: 6.16s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 65.47 W
Epoch 41/100, Loss: 0.0243, Time: 6.29s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 53.84 W
Epoch 42/100, Loss: 0.0251, Time: 6.34s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 61.60 W
Epoch 43/100, Loss: 0.0284, Time: 6.37s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 61.12 W
Epoch 44/100, Loss: 0.0293, Time: 6.21s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 67.84 W
Epoch 45/100, Loss: 0.0189, Time: 6.39s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 37.69 W
Epoch 46/100, Loss: 0.0348, Time: 6.38s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 55.58 W
Epoch 47/100, Loss: 0.0280, Time: 6.46s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 62.96 W
Epoch 48/100, Loss: 0.0233, Time: 6.49s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 41.53 W
Epoch 49/100, Loss: 0.0263, Time: 6.57s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 64.73 W
Epoch 50/100, Loss: 0.0254, Time: 6.16s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 60.56 W
Epoch 51/100, Loss: 0.0305, Time: 6.49s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 46.75 W
Epoch 52/100, Loss: 0.0213, Time: 6.21s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 68.36 W
Epoch 53/100, Loss: 0.0290, Time: 6.22s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 78.07 W
Epoch 54/100, Loss: 0.0213, Time: 6.50s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 66.35 W
Epoch 55/100, Loss: 0.0251, Time: 6.51s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 61.27 W
Epoch 56/100, Loss: 0.0240, Time: 6.68s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 70.57 W
Epoch 57/100, Loss: 0.0221, Time: 6.61s, CPU Mem: 4494.74 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 74.88 W
Epoch 58/100, Loss: 0.0234, Time: 6.20s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 66.57 W
Epoch 59/100, Loss: 0.0258, Time: 6.03s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.10%, GPU Power: 65.97 W
Epoch 60/100, Loss: 0.0208, Time: 6.25s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 56.76 W
Epoch 61/100, Loss: 0.0230, Time: 6.30s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 40.94 W
Epoch 62/100, Loss: 0.0220, Time: 6.21s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 72.94 W
Epoch 63/100, Loss: 0.0232, Time: 6.44s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 63.34 W
Epoch 64/100, Loss: 0.0232, Time: 6.31s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 40.23 W
Epoch 65/100, Loss: 0.0162, Time: 6.51s, CPU Mem: 4494.99 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 44.69 W
Epoch 66/100, Loss: 0.0265, Time: 6.20s, CPU Mem: 4494.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 43.21 W
Epoch 67/100, Loss: 0.0265, Time: 6.12s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 44.95 W
Epoch 68/100, Loss: 0.0162, Time: 6.18s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 73.78 W
Epoch 69/100, Loss: 0.0241, Time: 6.55s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 62.74 W
Epoch 70/100, Loss: 0.0218, Time: 6.37s, CPU Mem: 4494.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 40.55 W
Epoch 71/100, Loss: 0.0212, Time: 6.44s, CPU Mem: 4495.01 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 56.64 W
Epoch 72/100, Loss: 0.0159, Time: 6.45s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 60.80 W
Epoch 73/100, Loss: 0.0299, Time: 6.32s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 40.64 W
Epoch 74/100, Loss: 0.0159, Time: 6.53s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 56.45 W
Epoch 75/100, Loss: 0.0256, Time: 6.43s, CPU Mem: 4495.02 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 58.88 W
Epoch 76/100, Loss: 0.0183, Time: 6.47s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 37.88 W
Epoch 77/100, Loss: 0.0140, Time: 6.53s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 59.49 W
Epoch 78/100, Loss: 0.0258, Time: 6.38s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 59.09 W
Epoch 79/100, Loss: 0.0131, Time: 6.47s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 44.95 W
Epoch 80/100, Loss: 0.0265, Time: 6.49s, CPU Mem: 4494.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 76.13 W
Epoch 81/100, Loss: 0.0206, Time: 6.31s, CPU Mem: 4495.01 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 63.21 W
Epoch 82/100, Loss: 0.0187, Time: 6.24s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 46.62 W
Epoch 83/100, Loss: 0.0162, Time: 6.66s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 52.35 W
Epoch 84/100, Loss: 0.0187, Time: 6.67s, CPU Mem: 4494.77 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 48.61 W
Epoch 85/100, Loss: 0.0211, Time: 6.31s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 60.39 W
Epoch 86/100, Loss: 0.0195, Time: 6.52s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 53.84 W
Epoch 87/100, Loss: 0.0194, Time: 6.55s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.50%, GPU Power: 61.46 W
Epoch 88/100, Loss: 0.0192, Time: 6.27s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 64.84 W
Epoch 89/100, Loss: 0.0206, Time: 6.27s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 38.88 W
Epoch 90/100, Loss: 0.0126, Time: 6.25s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 70.78 W
Epoch 91/100, Loss: 0.0227, Time: 6.11s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 47.51 W
Epoch 92/100, Loss: 0.0206, Time: 6.64s, CPU Mem: 4494.76 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 51.67 W
Epoch 93/100, Loss: 0.0194, Time: 6.57s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 54.97 W
Epoch 94/100, Loss: 0.0147, Time: 6.30s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 42.02 W
Epoch 95/100, Loss: 0.0154, Time: 6.69s, CPU Mem: 4495.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.90%, GPU Power: 60.56 W
