,Total Epochs,Loss,Time (s),CPU Memory (MB),GPU Memory (MB),CPU Usage (%),GPU Power (W),Power Work (Wh)
1,100.0,1.49696,9.161,4502.158,2131.75,27.57,52.89,0.1334629722222222
2,100.0,1.04077,6.665000000000001,4504.874,2131.75,41.79,51.117000000000004,0.094358275
3,100.0,0.8348800000000001,6.694,4505.348,2131.75,41.69,50.348,0.09287402777777778
4,100.0,0.69428,6.601000000000001,4505.497,2131.75,42.019999999999996,59.33299999999999,0.10742421666666666
5,100.0,0.59325,6.638,4505.178,2131.75,41.88,52.975,0.09658219999999999
6,100.0,0.50652,6.609999999999999,4505.488,2131.75,41.95,48.102,0.08793665833333333
7,100.0,0.43355,6.654000000000001,4505.549,2131.75,41.839999999999996,51.928,0.09492864722222222
8,100.0,0.36469999999999997,6.633,4505.549,2131.75,41.97,56.989,0.103579325
9,100.0,0.30077000000000004,6.634,4505.424,2131.75,41.97,52.126,0.09462234444444445
10,100.0,0.24264999999999998,6.628,4505.502,2131.75,41.989999999999995,53.42100000000001,0.09717201388888888
11,100.0,0.19245,6.611,4505.501,2131.75,42.05,51.44500000000001,0.09354520000000001
12,100.0,0.15251,6.654999999999999,4505.452,2131.75,41.97,54.835,0.10047166666666667
13,100.0,0.12147,6.641,4505.4349999999995,2131.75,41.95,64.064,0.11653873888888888
14,100.0,0.09846,6.572,4505.451,2131.75,42.33,52.336,0.09451124722222222
15,100.0,0.0852,6.609999999999999,4505.527,2131.75,42.19,54.029999999999994,0.09846350000000001
16,100.0,0.07292,6.622,4505.551,2131.75,42.08,60.7,0.11096506944444444
17,100.0,0.06752,6.67,4505.501,2131.75,41.8,54.099000000000004,0.09961075555555556
18,100.0,0.061250000000000006,6.601999999999999,4505.476000000001,2131.75,42.08,52.989999999999995,0.09630849166666666
19,100.0,0.05857,6.631,4505.477000000001,2131.75,42.03,56.81,0.10390185555555556
20,100.0,0.05377,6.601000000000001,4505.507,2131.75,41.980000000000004,46.611000000000004,0.08438132777777778
21,100.0,0.04838,6.687,4505.426,2131.75,41.739999999999995,50.618,0.09386412499999999
22,100.0,0.04993,6.556,4505.502,2131.75,42.230000000000004,59.157000000000004,0.1066953638888889
23,100.0,0.04643,6.58,4505.478,2131.75,42.21,53.15,0.09618954722222223
24,100.0,0.044930000000000005,6.481,4505.501,2131.75,42.29,68.466,0.12253679722222222
