Starting job 7...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 3 | Pad: 1 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.4803, Time: 9.57s, CPU Mem: 4514.00 MB, GPU Mem: 2131.75 MB, CPU Usage: 28.10%, GPU Power: 36.23 W
Epoch 2/100, Loss: 1.0293, Time: 7.21s, CPU Mem: 4514.78 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 41.68 W
Epoch 3/100, Loss: 0.8127, Time: 7.09s, CPU Mem: 4515.22 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.00%, GPU Power: 60.57 W
Epoch 4/100, Loss: 0.6815, Time: 7.10s, CPU Mem: 4515.61 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.20%, GPU Power: 52.73 W
Epoch 5/100, Loss: 0.5683, Time: 6.97s, CPU Mem: 4515.16 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 49.86 W
Epoch 6/100, Loss: 0.4786, Time: 6.96s, CPU Mem: 4515.62 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 52.42 W
Epoch 7/100, Loss: 0.3951, Time: 7.08s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.20%, GPU Power: 58.61 W
Epoch 8/100, Loss: 0.3285, Time: 7.10s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 46.30 W
Epoch 9/100, Loss: 0.2556, Time: 7.04s, CPU Mem: 4515.18 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 38.51 W
Epoch 10/100, Loss: 0.1978, Time: 7.15s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.90%, GPU Power: 32.59 W
Epoch 11/100, Loss: 0.1474, Time: 7.24s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.70%, GPU Power: 46.89 W
Epoch 12/100, Loss: 0.1216, Time: 6.88s, CPU Mem: 4515.64 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 54.78 W
Epoch 13/100, Loss: 0.0918, Time: 7.14s, CPU Mem: 4515.38 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.30%, GPU Power: 48.66 W
Epoch 14/100, Loss: 0.0788, Time: 7.01s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.20%, GPU Power: 54.68 W
Epoch 15/100, Loss: 0.0727, Time: 6.91s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 50.45 W
Epoch 16/100, Loss: 0.0623, Time: 7.11s, CPU Mem: 4515.43 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.50%, GPU Power: 36.93 W
Epoch 17/100, Loss: 0.0583, Time: 7.10s, CPU Mem: 4515.39 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.50%, GPU Power: 35.06 W
Epoch 18/100, Loss: 0.0519, Time: 7.19s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 59.28 W
Epoch 19/100, Loss: 0.0566, Time: 7.18s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.30%, GPU Power: 40.58 W
Epoch 20/100, Loss: 0.0426, Time: 6.85s, CPU Mem: 4515.64 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 53.20 W
Epoch 21/100, Loss: 0.0560, Time: 7.07s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 56.25 W
Epoch 22/100, Loss: 0.0450, Time: 6.96s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 34.86 W
Epoch 23/100, Loss: 0.0411, Time: 7.10s, CPU Mem: 4515.38 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 55.48 W
Epoch 24/100, Loss: 0.0386, Time: 7.09s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 37.52 W
Epoch 25/100, Loss: 0.0386, Time: 6.87s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 76.04 W
Epoch 26/100, Loss: 0.0405, Time: 6.18s, CPU Mem: 4515.64 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 59.61 W
Epoch 27/100, Loss: 0.0391, Time: 6.64s, CPU Mem: 4515.38 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 34.26 W
Epoch 28/100, Loss: 0.0447, Time: 7.06s, CPU Mem: 4515.38 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 64.91 W
Epoch 29/100, Loss: 0.0341, Time: 7.17s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 54.20 W
Epoch 30/100, Loss: 0.0333, Time: 7.08s, CPU Mem: 4515.13 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.10%, GPU Power: 34.56 W
Epoch 31/100, Loss: 0.0330, Time: 7.04s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 55.77 W
Epoch 32/100, Loss: 0.0330, Time: 7.09s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 42.64 W
Epoch 33/100, Loss: 0.0346, Time: 7.11s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.00%, GPU Power: 37.23 W
Epoch 34/100, Loss: 0.0340, Time: 7.24s, CPU Mem: 4515.38 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.90%, GPU Power: 50.16 W
Epoch 35/100, Loss: 0.0302, Time: 7.00s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 58.62 W
Epoch 36/100, Loss: 0.0317, Time: 6.91s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 40.67 W
Epoch 37/100, Loss: 0.0300, Time: 6.99s, CPU Mem: 4515.63 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 70.12 W
