Starting job 7...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 5 | Pad: 2 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.4796, Time: 8.63s, CPU Mem: 4496.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.10%, GPU Power: 63.01 W
Epoch 2/100, Loss: 1.0142, Time: 6.28s, CPU Mem: 4497.07 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 63.19 W
Epoch 3/100, Loss: 0.8164, Time: 5.91s, CPU Mem: 4497.53 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 74.11 W
Epoch 4/100, Loss: 0.6820, Time: 5.93s, CPU Mem: 4497.53 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 79.74 W
Epoch 5/100, Loss: 0.5793, Time: 6.07s, CPU Mem: 4497.04 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 75.71 W
Epoch 6/100, Loss: 0.4958, Time: 5.94s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 46.53 W
Epoch 7/100, Loss: 0.4179, Time: 6.14s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 46.85 W
Epoch 8/100, Loss: 0.3547, Time: 5.94s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 77.58 W
Epoch 9/100, Loss: 0.2906, Time: 6.00s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 61.33 W
Epoch 10/100, Loss: 0.2278, Time: 6.11s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 70.60 W
Epoch 11/100, Loss: 0.1816, Time: 6.13s, CPU Mem: 4497.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 71.29 W
Epoch 12/100, Loss: 0.1391, Time: 6.04s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 81.52 W
Epoch 13/100, Loss: 0.1118, Time: 5.98s, CPU Mem: 4497.35 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 72.88 W
Epoch 14/100, Loss: 0.0906, Time: 5.98s, CPU Mem: 4497.05 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 70.56 W
Epoch 15/100, Loss: 0.0785, Time: 6.35s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 64.80 W
Epoch 16/100, Loss: 0.0714, Time: 6.42s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.20%, GPU Power: 64.89 W
Epoch 17/100, Loss: 0.0634, Time: 6.47s, CPU Mem: 4497.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.80%, GPU Power: 35.48 W
Epoch 18/100, Loss: 0.0609, Time: 6.14s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 41.41 W
Epoch 19/100, Loss: 0.0503, Time: 6.06s, CPU Mem: 4497.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 51.27 W
Epoch 20/100, Loss: 0.0598, Time: 5.79s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.80%, GPU Power: 68.92 W
Epoch 21/100, Loss: 0.0451, Time: 6.06s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 44.08 W
Epoch 22/100, Loss: 0.0450, Time: 6.13s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 69.83 W
Epoch 23/100, Loss: 0.0422, Time: 6.14s, CPU Mem: 4497.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 43.19 W
Epoch 24/100, Loss: 0.0470, Time: 5.79s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.90%, GPU Power: 76.47 W
Epoch 25/100, Loss: 0.0431, Time: 6.23s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 65.28 W
Epoch 26/100, Loss: 0.0424, Time: 6.16s, CPU Mem: 4497.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 64.62 W
Epoch 27/100, Loss: 0.0408, Time: 5.97s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 79.12 W
Epoch 28/100, Loss: 0.0333, Time: 6.08s, CPU Mem: 4497.30 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 46.64 W
Epoch 29/100, Loss: 0.0497, Time: 6.36s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 68.22 W
Epoch 30/100, Loss: 0.0329, Time: 5.62s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 44.80%, GPU Power: 74.90 W
Epoch 31/100, Loss: 0.0349, Time: 5.96s, CPU Mem: 4497.35 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 66.65 W
Epoch 32/100, Loss: 0.0326, Time: 5.87s, CPU Mem: 4497.05 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 74.91 W
Epoch 33/100, Loss: 0.0336, Time: 5.98s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 65.16 W
Epoch 34/100, Loss: 0.0352, Time: 6.09s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 59.07 W
Epoch 35/100, Loss: 0.0323, Time: 6.34s, CPU Mem: 4497.35 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 46.44 W
Epoch 36/100, Loss: 0.0333, Time: 6.31s, CPU Mem: 4497.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 48.24 W
