Starting job 3...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 7 | Pad: 5 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.4948, Time: 8.41s, CPU Mem: 4507.67 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.40%, GPU Power: 49.37 W
Epoch 2/100, Loss: 1.0399, Time: 5.38s, CPU Mem: 4511.45 MB, GPU Mem: 2131.75 MB, CPU Usage: 45.10%, GPU Power: 60.09 W
Epoch 3/100, Loss: 0.8298, Time: 6.10s, CPU Mem: 4511.91 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 75.05 W
Epoch 4/100, Loss: 0.6964, Time: 6.07s, CPU Mem: 4511.92 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 74.47 W
Epoch 5/100, Loss: 0.5898, Time: 5.85s, CPU Mem: 4511.42 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.60%, GPU Power: 81.83 W
Epoch 6/100, Loss: 0.5066, Time: 6.19s, CPU Mem: 4511.93 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 44.04 W
Epoch 7/100, Loss: 0.4339, Time: 6.14s, CPU Mem: 4511.93 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 59.93 W
Epoch 8/100, Loss: 0.3683, Time: 5.82s, CPU Mem: 4511.93 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 78.27 W
Epoch 9/100, Loss: 0.3057, Time: 6.12s, CPU Mem: 4511.68 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 46.11 W
Epoch 10/100, Loss: 0.2438, Time: 6.22s, CPU Mem: 4511.93 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 71.17 W
Epoch 11/100, Loss: 0.1897, Time: 5.95s, CPU Mem: 4511.93 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 78.78 W
Epoch 12/100, Loss: 0.1527, Time: 5.74s, CPU Mem: 4511.93 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.50%, GPU Power: 53.49 W
