Starting job 9...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 5 | Pad: 2 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/100, Loss: 1.4713, Time: 9.81s, CPU Mem: 4501.77 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.50%, GPU Power: 52.41 W
Epoch 2/100, Loss: 1.0203, Time: 7.00s, CPU Mem: 4505.89 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 49.77 W
Epoch 3/100, Loss: 0.8106, Time: 7.17s, CPU Mem: 4506.35 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.10%, GPU Power: 33.87 W
Epoch 4/100, Loss: 0.6698, Time: 7.08s, CPU Mem: 4506.48 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 56.93 W
Epoch 5/100, Loss: 0.5709, Time: 7.25s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.80%, GPU Power: 49.46 W
Epoch 6/100, Loss: 0.4808, Time: 7.05s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 38.51 W
Epoch 7/100, Loss: 0.4091, Time: 7.07s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 54.47 W
Epoch 8/100, Loss: 0.3336, Time: 7.17s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 39.41 W
Epoch 9/100, Loss: 0.2657, Time: 7.12s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 36.83 W
Epoch 10/100, Loss: 0.2118, Time: 6.95s, CPU Mem: 4506.50 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 54.10 W
Epoch 11/100, Loss: 0.1664, Time: 7.01s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 37.13 W
Epoch 12/100, Loss: 0.1256, Time: 7.00s, CPU Mem: 4506.25 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.50%, GPU Power: 36.04 W
Epoch 13/100, Loss: 0.1021, Time: 7.20s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 42.08 W
Epoch 14/100, Loss: 0.0848, Time: 7.30s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 45.60 W
Epoch 15/100, Loss: 0.0780, Time: 7.24s, CPU Mem: 4506.76 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.40%, GPU Power: 32.48 W
Epoch 16/100, Loss: 0.0645, Time: 6.92s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.70%, GPU Power: 48.75 W
Epoch 17/100, Loss: 0.0634, Time: 7.10s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.60%, GPU Power: 42.74 W
Epoch 18/100, Loss: 0.0548, Time: 6.95s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 58.62 W
Epoch 19/100, Loss: 0.0599, Time: 7.25s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.50%, GPU Power: 49.96 W
Epoch 20/100, Loss: 0.0531, Time: 7.19s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.30%, GPU Power: 34.36 W
Epoch 21/100, Loss: 0.0399, Time: 7.16s, CPU Mem: 4506.50 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.20%, GPU Power: 51.63 W
Epoch 22/100, Loss: 0.0566, Time: 6.75s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.00%, GPU Power: 39.69 W
Epoch 23/100, Loss: 0.0400, Time: 7.00s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 37.13 W
Epoch 24/100, Loss: 0.0442, Time: 6.59s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 83.58 W
Epoch 25/100, Loss: 0.0408, Time: 6.78s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.90%, GPU Power: 52.52 W
Epoch 26/100, Loss: 0.0401, Time: 6.49s, CPU Mem: 4506.77 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 46.10 W
Epoch 27/100, Loss: 0.0428, Time: 7.10s, CPU Mem: 4506.76 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 46.60 W
Epoch 28/100, Loss: 0.0350, Time: 7.36s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 40.70%, GPU Power: 40.69 W
Epoch 29/100, Loss: 0.0318, Time: 7.11s, CPU Mem: 4506.50 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 35.65 W
Epoch 30/100, Loss: 0.0372, Time: 7.04s, CPU Mem: 4506.76 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 54.28 W
Epoch 31/100, Loss: 0.0361, Time: 7.00s, CPU Mem: 4506.76 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 58.12 W
Epoch 32/100, Loss: 0.0357, Time: 7.17s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.00%, GPU Power: 34.66 W
Epoch 33/100, Loss: 0.0343, Time: 7.08s, CPU Mem: 4506.50 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 40.30 W
Epoch 34/100, Loss: 0.0300, Time: 7.07s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 53.39 W
Epoch 35/100, Loss: 0.0308, Time: 7.11s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 55.94 W
Epoch 36/100, Loss: 0.0349, Time: 7.30s, CPU Mem: 4506.55 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.10%, GPU Power: 44.24 W
Epoch 37/100, Loss: 0.0258, Time: 7.20s, CPU Mem: 4506.25 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.00%, GPU Power: 51.34 W
Epoch 38/100, Loss: 0.0263, Time: 7.01s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 45.73 W
Epoch 39/100, Loss: 0.0376, Time: 7.13s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 36.63 W
Epoch 40/100, Loss: 0.0253, Time: 7.02s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 41.16 W
Epoch 41/100, Loss: 0.0296, Time: 7.01s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 55.91 W
Epoch 42/100, Loss: 0.0274, Time: 7.13s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.30%, GPU Power: 50.64 W
Epoch 43/100, Loss: 0.0311, Time: 6.75s, CPU Mem: 4506.50 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 36.93 W
Epoch 44/100, Loss: 0.0208, Time: 6.90s, CPU Mem: 4506.75 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 43.34 W
