,Total Epochs,Loss,Time (s),CPU Memory (MB),GPU Memory (MB),CPU Usage (%),GPU Power (W),Power Work (Wh)
1,200.0,1.50035,49.015,4606.3150000000005,2111.75,16.35,29.585,0.4027332777777778
2,200.0,1.16845,46.555,4609.285,2111.75,17.8,28.244999999999997,0.36539266666666664
3,200.0,1.0648499999999999,46.445,4609.92,2111.75,17.95,31.205,0.4026116527777778
4,200.0,1.00285,46.7,4610.165,2111.75,17.85,32.45,0.4211548611111111
5,200.0,0.95275,46.855000000000004,4609.745000000001,2111.75,17.700000000000003,29.14,0.3793044861111111
6,200.0,0.9107000000000001,46.615,4610.13,2111.75,17.8,31.61,0.40945479166666665
7,200.0,0.8751,47.11,4610.225,2111.75,17.6,31.515,0.412383125
8,200.0,0.839,46.864999999999995,4610.35,2111.75,17.75,29.58,0.3852312916666667
9,200.0,0.8111999999999999,47.035,4609.85,2111.75,17.65,28.25,0.36914309722222216
10,200.0,0.78075,46.864999999999995,4610.17,2111.75,17.75,29.58,0.3853991666666667
11,200.0,0.7546999999999999,46.44,4610.365,2111.75,17.85,28.939999999999998,0.3735225555555556
12,200.0,0.7331000000000001,46.36,4610.18,2111.75,17.85,33.19,0.42770233333333335
13,200.0,0.71225,46.465,4610.23,2111.75,17.8,32.155,0.4146414583333333
14,200.0,0.6967000000000001,46.59,4609.98,2111.75,17.799999999999997,31.76,0.4108509166666667
15,200.0,0.67955,46.68,4610.175,2111.75,17.700000000000003,29.195,0.37854505555555557
16,200.0,0.66745,46.295,4610.105,2111.75,17.799999999999997,29.14,0.3746924861111111
17,200.0,0.656,46.86,4610.355,2111.75,17.65,29.134999999999998,0.37950723611111115
18,200.0,0.6426000000000001,46.33,4609.855,2111.75,17.799999999999997,29.630000000000003,0.3812126944444445
19,200.0,0.6318,46.93000000000001,4610.175,2111.75,17.7,28.939999999999998,0.3775481666666667
20,200.0,0.62195,46.474999999999994,4610.105,2111.75,17.75,29.78,0.3845445694444445
21,200.0,0.6127,46.364999999999995,4610.360000000001,2111.75,17.85,29.14,0.3752223472222222
22,200.0,0.60295,46.54,4609.73,2111.75,17.799999999999997,28.744999999999997,0.3716151527777778
23,200.0,0.59535,46.795,4610.175,2111.75,17.65,30.27,0.39326254166666663
24,200.0,0.58685,46.97,4610.105,2111.75,17.65,28.595,0.3730693472222222
25,200.0,0.57925,46.47,4610.355,2111.75,17.799999999999997,28.645,0.36976434722222223
26,200.0,0.5702499999999999,46.71,4609.73,2111.75,17.75,29.43,0.38190175000000004
27,200.0,0.5632999999999999,46.455,4610.175,2111.75,17.8,29.43,0.37996675
28,200.0,0.5573,46.765,4610.105,2111.75,17.75,29.33,0.38112802777777777
29,200.0,0.5517000000000001,46.555,4610.355,2111.75,17.85,29.2,0.3776686944444444
30,200.0,0.54335,46.535,4609.98,2111.75,17.95,30.87,0.3988299861111111
31,200.0,0.5394,47.285,4609.93,2111.75,17.65,30.33,0.39814498611111115
32,200.0,0.5347500000000001,46.525,4610.18,2111.75,17.85,29.53,0.38175891666666667
33,200.0,0.5266500000000001,46.72,4610.355,2111.75,18.05,28.189999999999998,0.36593475
34,200.0,0.5255000000000001,47.0,4610.23,2111.75,17.85,30.325,0.3959101111111111
35,200.0,0.51755,47.08,4609.855,2111.75,17.65,28.195,0.368854125
36,200.0,0.5143,46.875,4610.18,2111.75,17.85,28.835,0.37552851388888886
37,200.0,0.51215,46.67,4610.355,2111.75,17.85,29.785,0.38619447222222225
38,200.0,0.509,46.985,4610.23,2111.75,17.75,30.630000000000003,0.39979729166666667
39,200.0,0.5007,46.93,4609.855,2111.75,17.700000000000003,30.42,0.39653683333333334
40,200.0,0.5004,46.56,4610.18,2111.75,17.8,28.895,0.3737405416666666
41,200.0,0.4984,46.945,4610.355,2111.75,17.75,30.175,0.39342815277777776
42,200.0,0.4936,46.739999999999995,4610.23,2111.75,17.85,29.005000000000003,0.37657844444444444
43,200.0,0.4904,46.18,4609.855,2111.75,17.9,29.68,0.3809537777777778
44,200.0,0.48645000000000005,46.805,4610.055,2111.75,17.75,28.240000000000002,0.3672602222222222
45,200.0,0.4865,46.46,4610.23,2111.75,17.85,28.84,0.37221944444444444
46,200.0,0.48395,47.085,4610.23,2111.75,17.85,28.6,0.3740811805555556
47,200.0,0.47995,47.315,4609.98,2111.75,17.700000000000003,29.685000000000002,0.3905876111111111
48,200.0,0.47995,47.129999999999995,4609.93,2111.75,17.7,30.875,0.40433119444444443
49,200.0,0.47440000000000004,47.015,4610.23,2111.75,17.6,29.385,0.38366758333333334
50,200.0,0.47505,46.84,4610.355,2111.75,17.799999999999997,29.880000000000003,0.38855730555555557
51,200.0,0.4718,47.375,4610.355,2111.75,17.65,28.049999999999997,0.36915155555555557
52,200.0,0.47035000000000005,47.11,4609.98,2111.75,17.8,29.68,0.38849394444444446
53,200.0,0.46865,47.13,4610.18,2111.75,17.65,30.770000000000003,0.40292363888888894
54,200.0,0.46614999999999995,47.175,4610.23,2111.75,17.75,28.645,0.3754014027777778
55,200.0,0.46665,47.295,4610.355,2111.75,17.65,28.745,0.3776841388888889
56,200.0,0.4635,46.585,4609.855,2111.75,17.85,29.78,0.38512868055555555
57,200.0,0.46145,47.145,4610.1849999999995,2111.75,17.7,29.585,0.3871855416666667
58,200.0,0.46240000000000003,46.665,4610.355,2111.75,17.85,28.935000000000002,0.3750765277777778
59,200.0,0.4576,46.95,4610.23,2111.75,17.65,30.67,0.40006277777777777
60,200.0,0.45675,46.644999999999996,4609.855,2111.75,17.700000000000003,29.485,0.3821138055555555
61,200.0,0.45755,46.595,4610.18,2111.75,17.799999999999997,30.630000000000003,0.396448
62,200.0,0.45265,46.59,4610.105,2111.75,17.8,31.505000000000003,0.40807254166666673
63,200.0,0.45294999999999996,46.465,4610.23,2111.75,17.85,29.09,0.3754842638888889
64,200.0,0.45245,46.15,4610.23,2111.75,17.85,30.225,0.3878952638888889
65,200.0,0.4566,46.275,4610.23,2111.75,17.9,29.485,0.3789028194444445
66,200.0,0.44889999999999997,46.885000000000005,4610.365,2111.75,17.75,28.545,0.37177825
67,200.0,0.44615,46.975,4610.365,2111.75,17.7,29.145,0.3803581944444444
68,200.0,0.4462,46.425,4610.24,2111.75,17.85,29.945,0.3862330833333333
69,200.0,0.44694999999999996,46.325,4610.24,2111.75,17.95,31.855000000000004,0.40981222222222224
70,200.0,0.44475,46.555,4610.24,2111.75,17.85,30.68,0.397039625
71,200.0,0.4414,46.4,4610.24,2111.75,17.95,32.095,0.4142408472222222
72,200.0,0.44199999999999995,46.96,4610.125,2111.75,17.75,28.240000000000002,0.3684053611111111
73,200.0,0.4475,46.985,4610.115,2111.75,17.7,28.595,0.3732166527777778
74,200.0,0.43805,46.795,4610.24,2111.75,17.9,28.645,0.3723901805555555
75,200.0,0.4386,46.325,4610.24,2111.75,17.9,30.18,0.388324875
76,200.0,0.44035,46.980000000000004,4610.365,2111.75,17.75,29.880000000000003,0.38992916666666666
77,200.0,0.4375,46.55,4610.24,2111.75,17.799999999999997,30.18,0.3904976388888889
78,200.0,0.4386,46.95,4610.24,2111.75,17.799999999999997,30.72,0.40063974999999996
79,200.0,0.43295,46.815,4610.365,2111.75,17.700000000000003,29.82,0.38810883333333335
80,200.0,0.4383,46.980000000000004,4610.24,2111.75,17.6,31.46,0.4105603888888889
81,200.0,0.43085,46.855,4610.24,2111.75,17.75,30.08,0.3913893055555555
82,200.0,0.4327,47.08,4610.24,2111.75,17.65,29.490000000000002,0.38577741666666665
83,200.0,0.43295,46.78,4610.365,2111.75,17.799999999999997,31.215,0.40557720833333333
84,200.0,0.4313,46.099999999999994,4610.365,2111.75,18.05,32.3,0.41342144444444445
85,200.0,0.43235,46.83,4610.24,2111.75,17.8,28.98,0.3769914166666667
86,200.0,0.4286,46.825,4610.24,2111.75,17.85,28.65,0.37265226388888884
87,200.0,0.431,46.625,4610.365,2111.75,17.8,31.46,0.4074802083333333
88,200.0,0.42745,46.92,4610.365,2111.75,17.6,29.195,0.38075608333333333
89,200.0,0.4244,46.735,4610.24,2111.75,17.65,31.009999999999998,0.40267915277777777
90,200.0,0.43125,46.705,4610.24,2111.75,17.65,28.34,0.36773313888888887
91,200.0,0.42385,46.785,4610.375,2111.75,17.700000000000003,29.285,0.3806585
92,200.0,0.427,46.57,4610.365,2111.75,17.8,29.68,0.383886
93,200.0,0.42565,46.76,4610.24,2111.75,17.7,31.07,0.40343144444444445
94,200.0,0.42174999999999996,46.269999999999996,4610.24,2111.75,17.9,34.525000000000006,0.44375756944444444
95,200.0,0.42665,46.629999999999995,4610.24,2111.75,17.8,30.375,0.3937351111111111
96,200.0,0.4197,46.985,4610.365,2111.75,17.700000000000003,31.215000000000003,0.4078135138888889
97,200.0,0.42075,46.80500000000001,4610.24,2111.75,17.75,29.880000000000003,0.38849495833333336
98,200.0,0.42125,46.425,4610.24,2111.75,17.85,28.095,0.3623697916666667
99,200.0,0.42095,47.025000000000006,4610.24,2111.75,17.75,29.340000000000003,0.38310020833333336
100,200.0,0.41890000000000005,46.55,4610.365,2111.75,17.75,29.73,0.38466416666666664
