Starting job 8...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: FF | Kernel: 7 | Pad: 5 | Opacity 0.3 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512  Spatial Dimensions: 32 x 32 → 16 x 16 → 8 x 8 → 4 x 4 → 1 x 1
Epoch 1/100, Loss: 1.5094, Time: 47.83s, CPU Mem: 4605.21 MB, GPU Mem: 2111.75 MB, CPU Usage: 16.50%, GPU Power: 28.67 W
Epoch 2/100, Loss: 1.1756, Time: 46.02s, CPU Mem: 4608.04 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 31.24 W
Epoch 3/100, Loss: 1.0674, Time: 45.94s, CPU Mem: 4608.69 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 33.22 W
Epoch 4/100, Loss: 0.9986, Time: 45.64s, CPU Mem: 4609.08 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 32.43 W
Epoch 5/100, Loss: 0.9475, Time: 45.68s, CPU Mem: 4608.32 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 30.16 W
Epoch 6/100, Loss: 0.9072, Time: 46.69s, CPU Mem: 4608.72 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 28.57 W
Epoch 7/100, Loss: 0.8717, Time: 45.69s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.37 W
Epoch 8/100, Loss: 0.8387, Time: 46.00s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.67 W
Epoch 9/100, Loss: 0.8097, Time: 46.06s, CPU Mem: 4608.64 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 32.33 W
Epoch 10/100, Loss: 0.7806, Time: 46.65s, CPU Mem: 4608.78 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.60%, GPU Power: 31.34 W
Epoch 11/100, Loss: 0.7583, Time: 45.81s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 31.15 W
Epoch 12/100, Loss: 0.7329, Time: 46.51s, CPU Mem: 4608.89 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 29.66 W
Epoch 13/100, Loss: 0.7139, Time: 45.76s, CPU Mem: 4608.39 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.57 W
Epoch 14/100, Loss: 0.6977, Time: 46.01s, CPU Mem: 4608.79 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.57 W
Epoch 15/100, Loss: 0.6810, Time: 46.32s, CPU Mem: 4609.16 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.60%, GPU Power: 31.83 W
Epoch 16/100, Loss: 0.6683, Time: 46.16s, CPU Mem: 4608.89 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 28.57 W
Epoch 17/100, Loss: 0.6536, Time: 45.64s, CPU Mem: 4608.89 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.76 W
Epoch 18/100, Loss: 0.6466, Time: 46.53s, CPU Mem: 4608.39 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 29.57 W
Epoch 19/100, Loss: 0.6334, Time: 45.72s, CPU Mem: 4608.79 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 35.89 W
Epoch 20/100, Loss: 0.6225, Time: 45.68s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.67 W
Epoch 21/100, Loss: 0.6145, Time: 46.17s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.86 W
Epoch 22/100, Loss: 0.6052, Time: 45.78s, CPU Mem: 4608.64 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.57 W
Epoch 23/100, Loss: 0.5964, Time: 46.11s, CPU Mem: 4608.79 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 32.33 W
Epoch 24/100, Loss: 0.5888, Time: 45.69s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.77 W
Epoch 25/100, Loss: 0.5807, Time: 46.13s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 28.95 W
Epoch 26/100, Loss: 0.5739, Time: 45.63s, CPU Mem: 4608.64 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 33.22 W
Epoch 27/100, Loss: 0.5654, Time: 45.47s, CPU Mem: 4608.79 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 30.55 W
Epoch 28/100, Loss: 0.5613, Time: 46.01s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.56 W
Epoch 29/100, Loss: 0.5529, Time: 45.84s, CPU Mem: 4609.14 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.56 W
Epoch 30/100, Loss: 0.5492, Time: 46.37s, CPU Mem: 4608.64 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 29.47 W
Epoch 31/100, Loss: 0.5422, Time: 45.68s, CPU Mem: 4608.79 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 28.57 W
Epoch 32/100, Loss: 0.5377, Time: 47.20s, CPU Mem: 4609.15 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.50%, GPU Power: 30.47 W
