Starting job 6...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: FF | Kernel: 5 | Pad: 2 | Opacity 0.3 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512  Spatial Dimensions: 32 x 32 → 16 x 16 → 8 x 8 → 4 x 4 → 1 x 1
Epoch 1/100, Loss: 1.4986, Time: 49.15s, CPU Mem: 4595.38 MB, GPU Mem: 2111.75 MB, CPU Usage: 16.30%, GPU Power: 28.57 W
Epoch 2/100, Loss: 1.1554, Time: 45.95s, CPU Mem: 4598.26 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 29.46 W
Epoch 3/100, Loss: 1.0477, Time: 46.22s, CPU Mem: 4598.51 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 32.33 W
Epoch 4/100, Loss: 0.9799, Time: 46.34s, CPU Mem: 4598.88 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 30.47 W
Epoch 5/100, Loss: 0.9279, Time: 45.94s, CPU Mem: 4598.90 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 32.12 W
Epoch 6/100, Loss: 0.8881, Time: 45.94s, CPU Mem: 4598.65 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 34.20 W
Epoch 7/100, Loss: 0.8484, Time: 46.15s, CPU Mem: 4598.70 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 31.35 W
Epoch 8/100, Loss: 0.8167, Time: 46.54s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 33.13 W
Epoch 9/100, Loss: 0.7872, Time: 45.70s, CPU Mem: 4598.46 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 31.62 W
Epoch 10/100, Loss: 0.7604, Time: 45.63s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 31.14 W
Epoch 11/100, Loss: 0.7360, Time: 46.01s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 29.95 W
Epoch 12/100, Loss: 0.7144, Time: 45.57s, CPU Mem: 4598.71 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.90%, GPU Power: 35.39 W
Epoch 13/100, Loss: 0.6957, Time: 46.17s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.67 W
Epoch 14/100, Loss: 0.6812, Time: 45.49s, CPU Mem: 4598.71 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.10%, GPU Power: 31.24 W
Epoch 15/100, Loss: 0.6661, Time: 45.78s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.80%, GPU Power: 28.96 W
Epoch 16/100, Loss: 0.6509, Time: 46.14s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.60%, GPU Power: 28.86 W
Epoch 17/100, Loss: 0.6417, Time: 45.24s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 17.70%, GPU Power: 28.86 W
Epoch 18/100, Loss: 0.6287, Time: 46.11s, CPU Mem: 4598.71 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 28.57 W
Epoch 19/100, Loss: 0.6191, Time: 45.60s, CPU Mem: 4598.96 MB, GPU Mem: 2111.75 MB, CPU Usage: 18.00%, GPU Power: 32.62 W
