Starting job 2...
Files already downloaded and verified
Files already downloaded and verified
Starting Training...
Dataset: CIFAR-10 | Algo: BP | Kernel: 3 | Pad: 1 | MaxPooling: TRUE
Channels: 3 → 64 → 128 → 256 → 512 → 1 (via AdaptiveAvgPool) → num_classes
Epoch 1/200, Loss: 1.4774, Time: 8.59s, CPU Mem: 4498.80 MB, GPU Mem: 2131.75 MB, CPU Usage: 27.40%, GPU Power: 79.40 W
Epoch 2/200, Loss: 1.0381, Time: 6.12s, CPU Mem: 4502.87 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 73.97 W
Epoch 3/200, Loss: 0.8391, Time: 6.28s, CPU Mem: 4503.32 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 72.16 W
Epoch 4/200, Loss: 0.7066, Time: 6.17s, CPU Mem: 4503.70 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.10%, GPU Power: 40.99 W
Epoch 5/200, Loss: 0.6029, Time: 6.19s, CPU Mem: 4503.21 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 76.09 W
Epoch 6/200, Loss: 0.5190, Time: 5.82s, CPU Mem: 4503.71 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.70%, GPU Power: 78.95 W
Epoch 7/200, Loss: 0.4438, Time: 6.14s, CPU Mem: 4503.47 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 71.03 W
Epoch 8/200, Loss: 0.3734, Time: 5.83s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.60%, GPU Power: 79.88 W
Epoch 9/200, Loss: 0.3085, Time: 5.93s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 82.13 W
Epoch 10/200, Loss: 0.2481, Time: 6.26s, CPU Mem: 4503.27 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.50%, GPU Power: 82.28 W
Epoch 11/200, Loss: 0.1940, Time: 5.82s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.70%, GPU Power: 75.48 W
Epoch 12/200, Loss: 0.1487, Time: 6.05s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.30%, GPU Power: 47.87 W
Epoch 13/200, Loss: 0.1191, Time: 6.21s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.90%, GPU Power: 66.68 W
Epoch 14/200, Loss: 0.0948, Time: 5.93s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.10%, GPU Power: 78.29 W
Epoch 15/200, Loss: 0.0899, Time: 5.94s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.40%, GPU Power: 75.25 W
Epoch 16/200, Loss: 0.0692, Time: 5.86s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 47.87 W
Epoch 17/200, Loss: 0.0661, Time: 6.01s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 75.84 W
Epoch 18/200, Loss: 0.0544, Time: 6.02s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 78.29 W
Epoch 19/200, Loss: 0.0581, Time: 6.03s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.90%, GPU Power: 70.80 W
Epoch 20/200, Loss: 0.0533, Time: 5.82s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.60%, GPU Power: 79.29 W
Epoch 21/200, Loss: 0.0523, Time: 6.12s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.20%, GPU Power: 51.89 W
Epoch 22/200, Loss: 0.0462, Time: 6.18s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 41.70%, GPU Power: 62.59 W
Epoch 23/200, Loss: 0.0473, Time: 6.02s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 80.83 W
Epoch 24/200, Loss: 0.0424, Time: 5.97s, CPU Mem: 4503.47 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.60%, GPU Power: 79.32 W
Epoch 25/200, Loss: 0.0409, Time: 6.04s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.40%, GPU Power: 48.73 W
Epoch 26/200, Loss: 0.0439, Time: 5.88s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.80%, GPU Power: 80.64 W
Epoch 27/200, Loss: 0.0344, Time: 5.78s, CPU Mem: 4503.22 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.50%, GPU Power: 77.51 W
Epoch 28/200, Loss: 0.0433, Time: 5.83s, CPU Mem: 4503.72 MB, GPU Mem: 2131.75 MB, CPU Usage: 43.20%, GPU Power: 76.61 W
Epoch 29/200, Loss: 0.0343, Time: 6.16s, CPU Mem: 4503.73 MB, GPU Mem: 2131.75 MB, CPU Usage: 42.00%, GPU Power: 52.18 W
